Product Name,SKU,Price,Stock,Category,Description
Wireless Headphones,WH001,79.99,150,Electronics,Premium noise-cancelling wireless headphones
Bluetooth Speaker,BS002,45.50,89,Electronics,Portable waterproof Bluetooth speaker
Office Chair,OC003,299.00,25,Furniture,Ergonomic office chair with lumbar support
Standing Desk,SD004,599.99,12,Furniture,Height-adjustable standing desk
Coffee Mug,CM005,12.95,200,Kitchen,Ceramic coffee mug with company logo
Notebook Set,NS006,15.00,75,Office Supplies,Set of 3 lined notebooks
USB Cable,UC007,8.99,300,Electronics,USB-C to USB-A cable 6ft
Monitor Stand,MS008,89.00,45,Electronics,Adjustable monitor stand with storage
Pen Set,PS009,25.00,100,Office Supplies,Premium ballpoint pen set
Water Bottle,WB010,19.99,180,Kitchen,Stainless steel insulated water bottle